微博正文,发布位置,话题,转发数,评论数,点赞数,发布时间,省,市
#新疆棉中国心#『阿依达娜·塔拉甫汗：蓬佩奥之流别想破坏我们的幸福生活-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:29:00,,
#新疆棉中国心#『我们的生活越来越好，你们的阴谋不会得逞-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:28:00,,
#新疆棉中国心#『在新疆，每个人都通过双手创造美好的未来-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:28:00,,
#新疆棉中国心#『赛力山·斯马胡里：我们会像守护自己的生命一样守护美丽的家园-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:28:00,,
#新疆棉中国心#『艾克白里江·苏拉曼：你们散布的谎言将不攻自破-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:28:00,,
#新疆棉中国心#『澳媒8连发揭露美西方涉疆诡计，赵立坚：写得非常好-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:27:00,,
#新疆棉中国心#『澳媒揭露美英等国“以疆遏华”图谋-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:26:00,,
#新疆棉中国心#『【坚决反对蓬佩奥涉疆反华言论】美好生活不容他人破坏-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:26:00,,
#新疆棉中国心#『【坚决反对蓬佩奥涉疆反华言论】用事实揭穿蓬佩奥之流的谎言-天山网-新疆新闻门户』O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 10:26:00,,
#新疆棉中国心#新疆棉花我都摘过，这儿的人们可以摘棉花增收！,,新疆棉 中国心,0,0,0,2021-04-18 10:19:00,,
夏季必备💥【19.9】顶鹿短歀背心2件骑剑店的入两件的选项才9.95/件！吊带背心都有多色可组合新疆棉的夏天拿来打底不心疼,,,0,3,7,2021-04-18 10:16:00,,
其实很想去逛街试衣服……特别是zara我好想去试他家长靴但是全都抵制新疆棉……,,,0,0,4,2021-04-18 10:04:00,,
凑单价【拍1件】骆驼减震网面透气跑步鞋【拍1件】ozm新疆棉男士t恤短袖以上一起加车拍下，标题下方领200-20券，到手仅需113.9,,,0,2,5,2021-04-18 10:00:00,,
看到有人在优衣库旗舰店打差评，不是因为别的，因为新疆棉的事情，一时不知道说啥好,,,0,0,0,2021-04-11 22:19:00,,
【新疆棉花，我们挺你！】#新疆棉中国心##奇台正能量#新疆棉花是善良的新疆人民辛勤劳动的成果，无端的抹黑和无根据的指责都会以失败告终。无论无良企业如何编造谎言，新疆棉花永远洁白又柔软，温暖且坚韧。我们力挺新疆棉花！O新疆棉花，我们挺你！,,"新疆棉 中国心,奇台正能量",1,0,0,2021-04-11 22:18:00,江苏省,苏州市
5.1ws:/%新疆棉中国心我相信我亲眼看到的，不相信你们的谣言！；฿฿XS8wvOiDoh8฿฿答开Dou音艘索L秋日思语36614的微博视频,,,0,0,0,2021-04-11 22:18:00,,
【休想卡住新疆棉花产业的喉咙，劝你们好自为之】#新疆棉中国心##奇台正能量#在轮台县开棉花公司的徐远江向H&M等抹黑新疆棉花的企业喊话：“新疆的棉花是新疆人的，我们给你是情分，不给你是本分，你们想卡住新疆棉花产业的喉咙，我劝你们好自为之！”O休想卡住新疆棉花产业的喉咙，劝你们好自为之,,"新疆棉 中国心,奇台正能量",0,0,0,2021-04-11 22:16:00,,
（pai2件119）unifree&舒克贝塔新疆棉T恤2件,,,0,1,0,2021-04-11 22:15:00,,
今日推荐：显瘦短袖纯棉t恤上衣女潮日系春夏装小清新视频展示：领100元独家券，券后【69元】包邮秒杀！【推荐理由】含新疆棉纯棉爆款T恤，弹性好不变形，穿着舒适不紧绷，款式简单大方，百搭不挑人！每个款式都超有feel，打造青春活力与性感。赶快选购吧！#种草花花万物##好物推选官#日系小清新海洋风2021年春夏装新款米色显瘦短袖纯棉t恤上衣女潮,,"种草花花万物,好物推选官",0,0,0,2021-04-11 22:15:00,,
今日推荐：显瘦短袖纯棉t恤上衣女潮日系春夏装小清新视频展示：领100元独家券，券后【69元】包邮秒杀！【推荐理由】含新疆棉纯棉爆款T恤，弹性好不变形，穿着舒适不紧绷，款式简单大方，百搭不挑人！每个款式都超有feel，打造青春活力与性感。赶快选购吧！#种草花花万物##好物推选官#日系小清新海洋风2021年春夏装新款米色显瘦短袖纯棉t恤上衣女潮,,"种草花花万物,好物推选官",0,0,0,2021-04-11 22:15:00,,
【燃炸！#新疆青年说唱喊话西方#：挣中国钱砸中国锅，自己欠的血债栽赃雪白花朵！】@中国长安网携手新疆青年原创说唱《你可荒谬（NikeHM）》，喊话抹黑新疆棉花的西方势力：“只要损害了利益，就是破坏所谓自由？新冠死亡五十万加，哪来资格居高临下？想摧毁和平，不用打人权大旗！”（英语翻译：@-西北野战军-）#新疆小姐姐在HM门店外跳新疆舞##薇娅1小时卖出2000多万元新疆棉制品#L中国长安网的微博视频,,"新疆青年说唱喊话西方,新疆小姐姐在HM门店外跳新疆舞,薇娅1小时卖出2000多万元新疆棉制品",1,3,3,2021-04-11 22:08:00,,
现在看见新疆棉这几个字就走不动道了新疆棉潮流男士短袖，只要14.9💰！拍3️⃣件只要45💰限时领卷这个价线下打/折也没有啊！大白菜一颗速度抱走！,,,0,0,0,2021-04-11 22:02:00,,
中国🇨🇳东方崛起的雄狮《棉花帝国》是怎样的一本书？👉O网页链接来源：@知乎读书#新疆棉##我支持新疆棉花#,,"新疆棉,我支持新疆棉花",0,0,0,2021-04-11 21:56:00,,
新疆棉的事情就这样过去了嘛？,,,0,0,0,2021-04-11 21:52:00,,
都写图里了所有付出的努力都希望你们能收到能喜欢这个新疆棉真滴超舒服#4.13子夜lisa绝绝子#4.13/10AM【跪求刺绣,上海,4.13子夜lisa绝绝子,0,6,22,2021-04-11 21:44:00,,
？？？就这？？？？我本来都忘了这回事了突然收到了短信.....我求购了快一年一直加价本来因为新疆棉我都不碰得物了不买耐克结果就来这？？？,济南,,0,3,2,2021-04-11 21:43:00,,
#说说超短一些逻辑#为什么超短暂时只看泰坦股份和长源电力？美邦服饰是次高标，辨识度也很高，为什么不用看美邦？美邦服饰对新疆棉（新赛股份）、国产服装（none）没有带动作用，对超跌（仁东控股、济民制药）有带动，属于超跌支线。主线板块是次新+碳中和，主线调整时穿插型的题材能表现出很强的阶段赚钱效应，为什么？因为市场会找补涨，补涨的是情绪，落到盘面是这段日子超强的赚钱效应，但不能期待支线的级别像主线那么高。主线在垮，而赚钱效应的余温对市场内部的资金和场外踏空的资金来说却仍具备吸引作用。支线原来有大氛围的保护，情绪退潮后呢？情绪修复始终只能是主线板块标的引领。美邦服饰在此担不起担子就是这个理。,,说说超短一些逻辑,0,0,1,2021-04-11 21:42:00,北京市,
#新疆棉中国心#【MG动画｜数字里的疆棉】#我为新疆棉花正名#L天山网的微博视频,,"新疆棉 中国心,我为新疆棉花正名",28,4,27,2021-04-11 21:39:00,,
#新疆棉中国心#【MG动画｜数字里的疆棉】#我为新疆棉花正名#L天山网的微博视频,,"新疆棉 中国心,我为新疆棉花正名",2,1,7,2021-04-11 21:39:00,,
老雷，三十好几的人了，今天在商场要死要活，非买一双中国李宁走！秀！款！运动鞋。我：太丑了！真的，我实在没办法接受这双鞋！老雷：支持中国新疆棉！我：我支持，但是你必须换一双。老雷：爱国啊！！我：可以，换一双。这五彩缤纷的屎壳郎，你穿出去我可能会跟你离婚。老雷：中国李宁！我：普通李宁也爱国。老雷：那我其他的要换两双！这突然觉醒的时尚触觉。青春期的儿子买运动鞋也不过如此了。,杭州,,0,6,164,2021-04-11 21:34:00,,
zara这个太可爱了吧！【可爱但不要买，它抵制新疆棉，嘿嘿我现在知道啦！我没买！,,,0,21,126,2021-04-11 21:30:00,,
杨老师送的新疆棉T恤到啦，带上这份幸运，今年一定上岸@考研政治杨加宁,,,1,3,1,2021-04-11 21:23:00,,
吼吼，洪晃这就来了，就新疆棉事件。之前她微博发的观点见解,北京,,0,0,0,2021-04-07 22:26:00,,
4.1rE:/%新疆棉中国心好山好水出好棉新疆棉花亚克西！；ΘΘ1gVzqYhQhh8ΘΘ达开Dou音搜嗦,,,0,0,0,2021-04-07 22:25:00,,
分享视频L风云冰情_269的微博视频,,,0,0,1,2021-04-07 22:19:00,,
#肖战走秀#时装的世界充满了未知和挑战，但是又有无边的精彩等着你去发现。我叫国潮，当年在BCI中封杀新疆棉的人我一个也不会放过，最后的胜利只会是李宁学院！想嘲他，就从我的钱包上飘过去吧！,,肖战走秀,0,0,0,2021-04-07 22:15:00,,
【新疆棉】男士t恤短袖2021t打底衫14.9【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T花朝明月夜DD15.长大了，娶唐僧做老公，能玩就玩一玩，不能玩就把他吃掉。,,,0,1,0,2021-04-07 22:13:00,,
8.2mQ:/%新疆棉中国心这里的各民族都过着自己喜欢的生活，根本不存在“强迫劳动”；ππWXmKonkOhh8ππ打开Dou吟捜索,,,0,0,1,2021-04-07 21:58:00,,
热点有时候可能是一个反响强烈的单独事件（eg.新疆棉）有时候可能是一个影响长远的政策（eg.碳中和）有时候可能是某个风格的板块（eg.次新股）所以感受市场理解市场不单单理解外部事件的发生还要理解内部偏好的流动这次先是碳中和点燃市场资金焦点顺控发展借此横空出世从而又引爆次新  因为它具有次新属性 所以牢记label标签！ 找对标签就像找对定义  唯有属性才能让这个股和别的股区分开来   买股就是在买区分度,,,1,0,0,2021-04-07 21:57:00,,
我觉得我姐妹真是个妙人。节前的晚上我们去吃烤肉，搞得浑身都是味道。于是接下来一天晚上去蹦迪时，我就说我要穿昨天穿的裤子。她说好的，穿你的烤肉裤。然后上海这个季节到处都是梧桐絮，没见过梧桐的广东人不知道这是什么，就说，咦满大街飘着新疆棉。妈的妙语连珠还会结合时事，妈的我笑到整个黄浦区都地震,,,0,0,1,2021-04-07 21:51:00,黑龙江省,大庆市
原创新疆棉主题单品上架咯…,,,1,5,0,2021-04-07 21:50:00,,
我家布料店都是以新疆棉为原料，生意好得很O网页链接,,,0,0,0,2021-04-07 21:45:00,,
14.9【新疆棉】男士t恤短袖2021t打底衫券【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T我等待的人dd到书架上的书，于是我爬起来，拿了一本《冷读术》开始看，一直看到7：50，闹,,,0,1,0,2021-04-07 21:37:00,,
#家里穷对性格影响有多大#是真的穷，农村出身从小就知道每一分钱都来之不易，对钱很敏感，即使现在能够消费起也不会买，因为感觉不值，不喜欢欠人情，不喜欢超前消费，喜欢存钱，手有余粮，心里不慌，像这一阵子的新疆棉事件根本毫无影响，因为没买过,,家里穷对性格影响有多大,0,0,3,2021-04-07 21:35:00,,
H&M等抵制新疆棉，国产品牌崛起我们产品所需要的棉花将不再从那里（新疆）获得”，国际知名服装品牌H&M日前发布声明，引发众怒。是非曲直，其实并不难厘清。中国外交部发言人说得很清楚，所谓新疆存在“强迫劳动”等，系别有用心的所谓学者和机构蓄意编造和散布的弥天大谎，违背公理良知！先说弊端。首先就是H&M，耐克，阿迪，匡威，优衣库等等众多的世界知名服装品牌不再使用新疆的棉花，可能在短期内会对新疆的棉花产业造成影响（只是短期内）。再就是现在已经出现各地的H&M关店的情况，以及耐克阿迪等遭遇抵制的情况。这属于一种杀敌一千，自损八百的方式。这些产业都已深入中国经济，存在着大量的中国的从业人员。尤其是耐克阿迪这样的体量的品牌，现在还未出现关店的情况，接下来的形势会如何发展还需拭目以待。再说利处。国产品牌崛起的时候到了！虽然这些年我们的国货发展的很猛，但是真正像华为那样实现国际化的并不多，也不乏国外的品牌就是好这样的思想，希望我们的国产服装品牌能借助此次机会更上一层楼。要知道你们发展壮大了，可能就能够把上文所说的新疆棉花遭遇国外牌子抵制而到来的损失给填补上。那时候我们也可以真正不用在乎这些外国品牌的抵制，因为他们已经不值一提。以后我也会一如既往的支持国货，毕竟国货的实力也是不差的。HM事件持续发酵，相信很多大家喜欢的品牌因为抵制新疆棉的品牌大家都不会买了。现在小编盘点我们的国货女装服饰品牌，方便以后大家在电商和商场购买我们中国人自己的产品。现在又说回这次解约风波，照我看来，明星只要是这个事件之前签约代言的，即使不解约也无可厚非，别人用解约来表达爱国我们可以赞美，没有解约他人也无可指责。爱国是高于一切，可以凌驾于合约精神之上，也要分实际情况的吧，只要人不再买不再穿这个牌子的东西是不是也是和我们一样抵制这个东西爱国了。我从不追星也不维护什么人，只是站在普通人角度说出来，明星是公众人物，也是普通人，别人的钱也是自己劳动所得，凭啥要被人绑着拿几百万几千万去证明什么，这些钱在国内自己消费了还能刺激经济增长，捐给贫困山区也能改善穷人的生活，凭什么要为了证明什么送给阿迪耐克这些公司。整个品牌的崛起和产品良好的口碑适应当地消费者的需求以及公司架构的完整是密不可分的中国的快消行业也要像互联网行业一样学会迭代升级利用本土市场的优势逐渐掌握行业内的话语权再利用自身的优势吸引更多的人才加入形成良好的循环,,,0,0,2,2021-04-07 21:33:00,,
试妆｜我不仅喜爱新疆棉我更爱新疆妹子makeup：misa#上海新娘跟妆##上海婚礼跟妆##新娘试妆#,,"上海新娘跟妆,上海婚礼跟妆,新娘试妆",0,0,1,2021-04-07 21:32:00,,
反正插花技术忽上忽下💐我觉得这株新疆棉能坚持很久,,,0,2,0,2021-04-06 23:18:00,,
100％新疆棉上身[机智]（摩托车尾银色logo）,,,0,0,0,2021-04-06 23:17:00,,
盲猜会考和新疆棉有关的作文,,,0,2,1,2021-04-06 23:13:00,,
#薇娅再为湖北好物打call#我真的超级喜欢姐姐来着上次新疆棉事件真的让我对姐姐的好感又上升了三观正有正能量真的太喜欢了吧真的绝了绝了果然是姐!#薇娅李响连麦疫情亲历者#,,"薇娅再为湖北好物打call,薇娅李响连麦疫情亲历者",0,0,1,2021-04-06 23:11:00,,
新疆棉中国心。O网页链接,,,0,0,0,2021-04-06 23:09:00,,
刘亦菲就这几个粉吗？每个都参与过撕男主吧怎么陈晓没撕掉，你们还没死吗？刘亦菲粉丝转发新疆棉了吗你们的仙女数典忘祖崇洋媚外不敢转发，刘亦菲粉丝不会有样学样吗？建议你们挂我之前先看看你家粉的丑态刘亦菲今天转发新疆棉了吗？,,,7,0,14,2021-04-06 23:09:00,,
新疆棉女汉奸曝光！为获绿卡反祖国不择手段，许秀中下场大快人心建议国家对汉奸加大惩治力度，一方面让那些背叛祖国的汉奸，明确规定终生不得入境，并配以其他适合于处置的惩治，另一方面将她（他）的三代以内的直系亲属纳入失信群体，在就业、教育、卫生、交通等方面予以限制。,,,0,0,9,2021-04-06 23:06:00,,
新疆棉不是用来给你们涨价的,,,0,0,0,2021-04-06 23:05:00,,
#李宁把新疆棉写在标签上#可以,,李宁把新疆棉写在标签上,0,0,1,2021-04-06 23:02:00,,
感觉新疆棉的事情，已经被人淡忘了。。。毕竟还有这题人去优衣库看。。。,,,0,2,3,2021-04-10 21:21:00,新疆维吾尔自治区,乌鲁木齐市
查岗立刻拍一张今天穿什么内裤的照片发给我看不是新疆棉的自己删好友,南京,,0,1,7,2021-04-10 21:14:00,湖北省,武汉市
买了那个新疆棉的天彩的内裤，标题写着“性感”，讲真的，完全看不出一点性感,,,0,0,0,2021-04-10 21:09:00,,
#大学生说##新疆棉中国心#传媒君新栏目《大学生说》第一期开播啦丢掉NIKE真的是爱国吗？经过这次#耐克nike抵制新疆棉花#事件，你对NIKE等品牌有什么样的看法？你会怎么处理现在的NIKE产品？更多精彩内容请来听听我们的大学生是怎么说的吧～L华商传媒君的微博视频,广州·广东财经大学华商学院,"大学生说,新疆棉 中国心,耐克nike抵制新疆棉花",0,0,6,2021-04-10 20:56:00,,
今日去永旺超市闲逛，耐克店里依然有三三两两的人进出，路过阿迪发现是整个楼层客户最多的，里面试鞋试衣服的买单的络绎不绝。新疆棉事件才过十来天，有些人就患上了鱼的记忆力。中国的民族名牌要创新和发展，任重道远！,,,0,0,4,2021-04-10 20:55:00,,
吹爆麻花的乌龙山伯爵，两天的志愿活动短暂而忙碌，喜欢麻花的每一场表演，印象最深的是一句台词：阿谢三年了你就穿这身啊?我这身咋地了?都是新疆棉!,合肥,,0,0,1,2021-04-10 20:46:00,,
#SHINE茜恩·星光#曾黎in二拾三.Design，身着最🔥“奥利奥”黑白礼服，中国美人诉说着只属于中国新疆棉的絮语🤍🖤🤍,,SHINE茜恩·星光,0,1,0,2021-04-10 20:46:00,,
6.9eO:/%新疆棉中国心种棉花让我过上了幸福生活；฿฿4IhtmtFOmh8฿฿咑开Dou音sδμ索,,,0,0,0,2021-04-10 20:40:00,,
卧槽，香港所谓維吾爾人權關注組昨日成立，今（10日）在旺角朗豪坊外擺設街站。關注組成員呼籲市民杯葛新疆棉，罷買仍使用新疆棉的品牌。擺街站期間，（图三）有中年男子上前質疑關注組成員不了解新疆情況，「你親眼睇過咩？」雙方一度口角。（与时共进呀，这些就是卖国汉奸组织）#日月超话#,,日月超话,2,20,39,2021-04-10 20:38:00,,
微博最真实的发声，坚决支持新疆棉！O网页链接,,,0,0,0,2021-04-10 20:27:00,新疆维吾尔自治区,乌鲁木齐市
新疆棉,,,0,0,0,2021-04-10 20:20:00,,
今天支持了回新疆棉。,,,0,2,0,2021-04-10 20:18:00,,
转给@香港警察看看香港维吾尔人权关注组昨成立，今日在香港旺角朗豪坊外摆街站，狂言「杯葛新疆棉，罢买新疆棉产品」。。L何天恩的微博视频,,,10,39,129,2021-04-10 20:17:00,,
【59】太平鸟新疆棉纯色T恤官旗好价，多种颜色可选！都是纯色的简约风，各种风格都百搭棉73%+聚酯纤维27%，男女都能穿！,,,0,1,0,2021-04-10 20:05:00,,
【59】太平鸟新疆棉纯色T恤官旗好价，多种颜色可选！都是纯色的简约风，各种风格都百搭棉73%+聚酯纤维27%，男女都能穿！,,,0,1,0,2021-04-10 20:05:00,,
『新疆棉是卖点而不是痛点！纺织全产业链用实力数据为新疆棉花代言【一点资讯】』O新疆棉是卖点而不是痛点！纺织全产业链用实力数据为新疆棉花代言,,,0,0,0,2021-04-10 20:01:00,,
前两天闹得沸沸扬扬的新疆棉这事儿，大家都知道了吧。我放个马后炮啊。实际上棉花它不止可以做鞋子，尤其耐克阿迪什么的...棉花是从南北朝传入中国的，而且一直是在边疆种植。《宋书》里边儿就有记载了。最初看到这事儿的时候，首先想到的是有一个故事，叫《桃花女破周公》。郭德纲先生也曾经说过这个评书。不知道你们听没听过这个，这《桃花女破周公》其实不仅仅是一个故事。它有两个含义，一个自然就是桃花女和周公之间的很多故事了，是吧。主要是另外一个。说民间有一本类似《鲁班书》的符本，叫做《桃花镇》。传说是桃花女所撰，大多就是民间的一些婚丧嫁娶的应用。它里边有一个故事，是这样说的，说这个周公为了杀死桃花女，就假意去桃花女家里提亲，同意之后然后就去接亲呗。这周公就在当中设下重重埋伏了。不料想呢，桃花女技高一筹，先让丫鬟取了一根柳条，三根桃枝，做了个柳弓桃箭，又让人搓了棉线，编了一个筛罗，藏在花轿里。周公提前钩了丧门、吊客以及其他一大群凶神恶煞，守在自家门口。就等这桃花女下轿了。桃花女来了之后，先吩咐这个仆人，拿柳弓桃箭，向左右两扇门各射一箭，丧门星和吊客星这俩凶神最怕柳弓桃箭，赶紧逃走，归本位去了。这周公一看，，赶紧就让剩下的凶神恶煞一起扑上去。这个时候呢，桃花女下娇，有侍女就拿这个棉线做成的筛罗，往桃花女的头顶上罩，并且念到：线作箩比就天罗网，大红毡压住了拌脚绳。跨马鞍骑住了星日马，羊见凡草走无踪！然后这帮恶煞就愣是进不了身，最后只能走了。说到这个用棉线做的天罗网，实际上就是道教法术中常用的“天罗地网”，这种法术很多职业的道士也未必会。如果命犯天罗地网，在合适的大运和流年，可能感到幽愤、沉郁，怀才不遇，被冷落，财源受阻，严重的可能会触发牢狱之灾。言归正传，如果这个筛罗，棉线用纤维更长的棉花来制作，从材料上，肯定是要比短绒要好，一个是结实，一个是做出来的威力也大。这可不是强行附会啊，实际上很多术法它力量的大小，都取决于你用的什么材料。而全中国，乃至全世界，最好的长绒棉产地，就在我们大新疆。所以说，支持国货，从玄学做起。,,,0,2,4,2021-04-10 20:01:00,,
开心麻花#开心麻花乌龙山伯爵#第一次看话剧，献给了麻花！！全场笑声就没停过！！还有我穿新疆棉，麻花的话剧加入了好多新的内容！！编剧们棒棒哒！！演员们棒棒哒！！,合肥·合肥站,开心麻花乌龙山伯爵,0,6,9,2021-04-10 19:59:00,,
香港維吾尔人权关注組摆街站：杯葛新疆棉　有中年男子上前质疑关注組成員不了解新疆情況，「你亲眼看过咩？」，双方一度口角。。,,,5,20,64,2021-04-10 19:57:00,,
新疆棉好喜欢,,,0,0,0,2021-04-09 21:38:00,,
#白金汉宫宣布菲利普亲王去世#我就很好奇，一个旧殖民时代余孽，一个口无遮拦连遮掩都不愿意遮掩的种族主义者死了，为什么也有一堆中国人要向他哀悼？他也配享受“哀悼”？香港谁搞乱的？新疆棉英国是没说话是吧？哄堂大孝了家人们,,白金汉宫宣布菲利普亲王去世,2,42,152,2021-04-09 21:34:00,,
新疆棉事件后，身边同事穿李宁和回力的变多了，不过国货运动鞋可选的品牌还是太少，质量和设计还是有待提高。期望通过这次契机众多国货品牌不要短时赚快钱，抓住机会提升产品质量真正靠实力留住客户。国产品牌的真正崛起才是对BCI组织最好的反击。,,,0,0,2,2021-04-09 21:19:00,,
#徐汇宜家闭店清仓打折#不是说宜家也是抵制新疆棉的商家之一么,,徐汇宜家闭店清仓打折,0,2,26,2021-04-09 21:19:00,,
纯白无瑕的新疆棉O网页链接,,,0,0,0,2021-04-09 21:13:00,,
春季胶囊衣橱搭配让你们久等了～(注：本视频已移除涉及新疆棉事件的品牌)L_gloriagao的微博视频,,,13,47,314,2021-04-09 21:00:00,,
"#江西青年之声##全国两会#🇨🇳🇨🇳🇨🇳回首“十三五”历程,我们感慨万干,收获满满。展望“十四五”前景,我们勇毅笃行,充满期待。本次班会讨论，同学们就“两会：十四五计划和2035远景目标”主题展开，从科技、生活日常、时事热点“新疆棉”事件多方面深入探讨并结合了自己的观点。有许多方面是我不曾想过也不曾思考过的。时事政治、社会热点虽是我们应热切关心的，但不能仅仅是单纯的“走马观花”、“看热闹”，从大事中获得启发，应用于生活才是我们最应该做的。身为在这个暗流涌动时代的大学生，我们能做什么，怎么做，才能深刻贯彻落实两会精神以及符合十四五计划的要求。无非“创”、“新”二字。我虽属材料类传统的专业，但传统并非真的只能“传统”，反而在生活中应用广泛更应该注重创新。空谈空想都是虚无，“务实”才是硬道理。关注热点，思考热点，反思热点，实践于生活才是我们最应该做的。🇨🇳🇨🇳🇨🇳@赣青团学@江西共青团@江西理工大学团委@江西理工大学材料冶金化学学部",,"江西青年之声,全国两会",0,0,0,2021-04-09 20:58:00,,
MOVOUSCOUTURE《THESTORYOFLIGHT》《新疆的云》以新疆棉为灵感的婚纱，柔软洁白，蓬松可爱，温暖智慧的化身,,,0,0,4,2021-04-09 20:50:00,,
#团款实拍#听歌看细节黑色那件是我洗过晒干了的晚点公主号见L小抠团的微博视频,,团款实拍,1,3,0,2021-04-09 20:27:00,,
为新疆棉打call的一天,武汉·曙光星城B区,,0,0,2,2021-04-09 20:26:00,,
#新疆棉中国心#支持中国，支持新疆,,新疆棉 中国心,0,0,0,2021-04-09 20:21:00,,
#这里是新疆##新疆棉中国心#他们没有资格评论我们的生活L托克逊在线的微博视频,,"这里是新疆,新疆棉 中国心",0,1,0,2021-04-09 20:17:00,,
✨不久前，因为拒绝使用新疆棉，H&M、耐克、优衣库等多家企业引发了社会公众广泛声讨和抵制浪潮。众多品牌代言人宣布终止合作，到3月25日晚，已经有超过40位明星发布与相关品牌终止合作公告，3月25日也被网友称为“内娱解约日”。而在事情发生后，也依然有部分明星保持沉默，为此还遭到了不少网友的抨击和指责。对于明星集体解约现象你有什么看法吗？在评论区留言，表达你最真实的态度吧！#娱乐##内娱解约日##LetMeCc#,,"娱乐,内娱解约日,Let Me Cc",546,50,629,2021-04-09 20:05:00,,
#猫#小名：棉棉大名：满清镶黄旗富察氏•刘•新疆棉花糖•像天上的云朵一样•又白又香又甜,珠海,猫,0,4,0,2021-04-05 23:39:00,,
在吗发个纯棉内裤的照片给我我看看是不是新疆棉,塔城地区·托里县,,0,7,21,2021-04-05 23:23:00,,
#支持新疆棉的国货品牌#小聚,上海,支持新疆棉的国货品牌,2,6,13,2021-04-05 23:19:00,,
看上个斐乐的外套，忒贵了打完折一千七百多，经过将近一周琢磨，朕痛下决心，买了个打完折七百多的狼爪。太后曰，不错。于是朕又给太上皇搞了件同款。此乃黄氏御用型号，经查，狼爪不在“抵制新疆棉之列”。穿上显成熟，像四十多岁老男人，省得一出去采访接触岁数大的就管我叫孩子。,哈尔滨·哈尔滨天鹅饭店,,0,3,0,2021-04-05 23:17:00,,
【深挖！谁是抵制新疆棉的幕后黑手？】|O深挖！谁是抵制新疆棉的幕后黑手？,,,0,1,0,2021-04-05 23:14:00,,
新疆棉事件之后，各大优衣库穿搭博主纷纷改名。什么“美衣穿搭”“社畜穿搭”…怎么说呢，虽然能够理解，但是失望也是有的。,,,0,1,0,2021-04-05 23:10:00,,
新疆棉事件，革命先烈前仆后继地赴死，只是为了给中国挣一个光明地未来，为了让中国从此以后站起来，不用再做任何人的奴隶。而现在有的人却非要跪着，买那双名牌鞋。你们觉得，这真的合适吗？,,,0,0,0,2021-04-05 23:09:00,,
不想当愚民，一个基本上用不到棉花的公司，竟然拒绝新疆棉，甚至坚持到现在没任何表态。所以决定把经常穿的nike阿迪都收起来，不穿了。但是也不能让李宁恰烂钱，作为一个披着民族外衣的企业趁着机会恰烂钱，打折款都撤了，偷偷摸摸恰烂钱。（还不如nike光明正大的恰烂钱）以后决定穿板仔风格，美潮风格的衣服了,,,0,4,3,2021-04-05 23:02:00,,
FILA退出BCI组织，声明会继续用新疆棉后，4月4日凌晨，香港尖沙咀FILA分店，受到3鬼祟男子用喷漆涂鸦店铺卷闸。,,,0,0,2,2021-04-05 22:59:00,,
最近早上迷上了煮鸡蛋，感觉是每日清晨的唤醒仪式新买的油醋汁跟白水蛋很配哦～溏心蛋时间get√终于吃了心心念念好久的竹轮卷，部队火锅一人食加丝带面绝绝子无印支持新疆棉，晚上散步去消费，买了笔芯和吃的，感觉还是更爱原味薯条，小饼干不错。香菜茶太过治愈,南通,,0,0,0,2021-04-05 22:50:00,,
你为什么不用新疆棉。,,,0,1,8,2021-04-05 22:48:00,,
支持新疆棉支持国货,,,0,0,0,2021-04-05 22:48:00,,
虽然便宜了很多但我仍不会入手支持新疆棉,,,0,0,1,2021-04-05 22:45:00,,
怪无语的踩着新疆棉后刚买的aj招摇过市没有一点家国情怀服,,,0,0,0,2021-04-05 22:45:00,,
#实况#yyds日出为新疆棉贡献一份力高铁图书馆日落,,实况,0,0,1,2021-04-05 22:41:00,,
类目好价💦【14.9】ozm新疆棉短袖男士t恤入三件44更合蒜⚡100%新疆长绒棉🌿有超多样式！透气又吸汗百搭T恤可以多入几件换洗做家居服也🉑,,,1,2,6,2021-04-05 22:41:00,新疆维吾尔自治区,阿克苏地区
【4.9】拍3件12.9卷筒式新疆棉洗脸巾拍：贝心怡卷筒式新疆棉珍珠纹洗脸巾卸妆化妆棉干湿两用无荧光剂面巾,,,0,0,0,2021-04-08 21:53:00,新疆维吾尔自治区,阿克苏地区
【4.9】拍3件12.9卷筒式新疆棉洗脸巾拍：贝心怡卷筒式新疆棉珍珠纹洗脸巾卸妆化妆棉干湿两用无荧光剂面巾,,,0,0,0,2021-04-08 21:53:00,新疆维吾尔自治区,阿克苏地区
